744.1.1={holder=1019930517} #Zambiza[1009990273]
774.04.13={holder=1019930518} #Anquimarca[1009990273]
820.12.22={holder=1019930523} #Ninan[1009990273]
862.12.22={holder=1019930528} #Orco[1009990273]
885.05.06={holder=1019930533} #Marcavilca[1009990273]
895.06.27={holder=1019930536} #Guaritopa[1009990273]
927.08.23={holder=1019930538} #Huachuri[1009990273]
977.01.26={holder=1019930542} #Anquimarca[1009990273]
994.03.31={holder=1019930547} #Sopa[1009990273]
1027.10.09={holder=1019930552} #Yamqui[1009990273]
1060.04.03={holder=1019930555} #Pumi[1009990273]
1110.11.21={holder=1019930558} #Ruminavi[1009990273]
1116.03.02={holder=1019930565} #Surandaman[1009990273]
1122.12.10={holder=1019930569} #Cuyuchi[1009990273]
1149.10.29={holder=1019930576} #Huachuri[1009990273]
1176.08.08={holder=1019930580} #Mayta[1009990273]
1221.09.25={holder=1019930583} #Atoc[1009990273]
1239.06.29={holder=1019930585} #Titu[1009990273]
1268.04.04={holder=1019930591} #Coyllas[1009990273]
1278.10.12={holder=1019930596} #Pomaguala[1009990273]
1300.11.16={holder=1019930600} #Yamqui[1009990273]
1339.03.22={holder=1019930603} #Umu[1009990273]
1391.03.23={holder=1019930605} #Pumi[1009990273]
1392.09.21={holder=1019930608} #Cayo[1009990273]
1431.11.01={holder=1019930611} #Cuyuchi[1009990273]
