744.1.1={holder=1019928593} #Ninan[1009990254]
806.04.20={holder=1019928594} #Ruminavi[1009990254]
806.07.08={holder=1019928603} #Orco[1009990254]
867.10.14={holder=1019928608} #Zambiza[1009990254]
891.12.12={holder=1019928609} #Usca[1009990254]
921.05.30={holder=1019928617} #Yupanqui[1009990254]
931.12.01={holder=1019928619} #Pascac[1009990254]
965.04.19={holder=1019928623} #Sopa[1009990254]
1004.06.27={holder=1019928628} #Huachuri[1009990254]
1006.10.28={holder=1019928632} #Huaypalcon[1009990254]
1051.01.17={holder=1019928636} #Sopa[1009990254]
1096.05.23={holder=1019928639} #Tucuycuyche[1009990254]
1122.08.13={holder=1019928646} #Curiatao[1009990254]
1126.07.15={holder=1019928647} #Surandaman[1009990254]
1170.02.28={holder=1019928654} #Sopa[1009990254]
1181.12.03={holder=1019928658} #Taraque[1009990254]
1218.08.07={holder=1019928662} #Ruminavi[1009990254]
1258.06.12={holder=1019928666} #Usca[1009990254]
1262.03.26={holder=1019928669} #Zambiza[1009990254]
1281.04.29={holder=1019928673} #Sopa[1009990254]
1299.03.02={holder=1019928680} #Taraque[1009990254]
1350.10.11={holder=1019928685} #Pascac[1009990254]
1374.01.28={holder=1019928689} #Zopahua[1009990254]
1409.05.08={holder=1019928695} #Tucuycuyche[1009990254]
1416.12.23={holder=1019928700} #Surandaman[1009990254]
