744.1.1={holder=1019928703} #Sopa[1009990255]
788.02.24={holder=1019928704} #Yahuar[1009990255]
809.12.23={holder=1019928712} #Roca[1009990255]
855.02.02={holder=1019928713} #Ninan[1009990255]
857.07.27={holder=1019928720} #Túpac[1009990255]
890.03.11={holder=1019928726} #Cápac[1009990255]
937.05.05={holder=1019928729} #Cusichaca[1009990255]
941.01.24={holder=1019928735} #Cuyuchi[1009990255]
979.07.19={holder=1019928739} #Anquimarca[1009990255]
1000.03.14={holder=1019928745} #Villac[1009990255]
1032.04.15={holder=1019928750} #Cápac[1009990255]
1079.05.28={holder=1019928754} #Pomaguala[1009990255]
1095.09.04={holder=1019928761} #Túpac[1009990255]
1115.12.24={holder=1019928765} #Cayo[1009990255]
1158.09.10={holder=1019928768} #Cuyuchi[1009990255]
1188.04.09={holder=1019928772} #Taraque[1009990255]
1199.01.09={holder=1019928777} #Umu[1009990255]
1237.04.04={holder=1019928781} #Quispe[1009990255]
1273.02.25={holder=1019928788} #Usca[1009990255]
1296.07.31={holder=1019928790} #Anquimarca[1009990255]
1316.05.05={holder=1019928795} #Zambiza[1009990255]
1341.06.14={holder=1019928801} #Sahuaraura[1009990255]
1384.07.21={holder=1019928802} #Huáscar[1009990255]
1429.07.13={holder=1019928808} #Quispe[1009990255]
1442.10.31={holder=1019928811} #Cusichaca[1009990255]
