744.1.1={holder=1019919461} #Moctezuma[1009990162]
799.05.26={holder=1019919462} #Chimalpilli[1009990162]
812.10.06={holder=1019919467} #Huitzitl[1009990162]
841.11.02={holder=1019919470} #Chimalpopoca[1009990162]
884.12.31={holder=1019919472} #Coanacoch[1009990162]
903.06.12={holder=1019919475} #Opochtli[1009990162]
909.06.07={holder=1019919479} #Huitztecol[1009990162]
961.12.20={holder=1019919482} #Moquihuix[1009990162]
982.05.01={holder=1019919489} #Xihuitl[1009990162]
1005.12.12={holder=1019919493} #Tototl[1009990162]
1037.04.12={holder=1019919501} #Acamapichtli[1009990162]
1060.04.27={holder=1019919502} #Xipil[1009990162]
1084.09.18={holder=1019919505} #Xochitl[1009990162]
1101.09.10={holder=1019919508} #Yolotli[1009990162]
1152.08.28={holder=1019919511} #Itzcoatl[1009990162]
1169.09.21={holder=1019919518} #Itzcuintli[1009990162]
1185.09.24={holder=1019919523} #Matlalihuitl[1009990162]
1224.12.03={holder=1019919524} #Xihuitl[1009990162]
1267.04.17={holder=1019919527} #Zolin[1009990162]
1295.10.08={holder=1019919530} #Iquehuacatzin[1009990162]
1341.02.10={holder=1019919535} #Acolmiztli[1009990162]
1348.10.14={holder=1019919538} #Itzli[1009990162]
1392.01.09={holder=1019919542} #Opochtli[1009990162]
1392.12.05={holder=1019919546} #Nezahualcoyotl[1009990162]
1456.06.01={holder=1019919547} #Huitzilihuitl[1009990162]
