744.1.1={holder=1019930125} #Aiyotechapun[1009990269]
788.07.14={holder=1019930126} #Muhton[1009990269]
792.08.09={holder=1019930130} #Coyuch[1009990269]
830.03.12={holder=1019930137} #Nancen[1009990269]
880.11.12={holder=1019930144} #Apac[1009990269]
895.09.20={holder=1019930145} #Urtyantemu[1009990269]
902.08.02={holder=1019930148} #Troynuremo[1009990269]
955.09.29={holder=1019930151} #Cápac[1009990269]
1000.09.05={holder=1019930157} #Gusmango[1009990269]
1020.01.26={holder=1019930161} #Chumu[1009990269]
1021.12.19={holder=1019930166} #Cur[1009990269]
1058.04.02={holder=1019930172} #Opolcynamun[1009990269]
1097.09.15={holder=1019930175} #Draytonamu[1009990269]
1125.06.16={holder=1019930178} #Yetuniamu[1009990269]
1149.11.22={holder=1019930183} #Anco[1009990269]
1193.04.19={holder=1019930184} #Opolcynamun[1009990269]
1213.11.03={holder=1019930189} #Tamuc[1009990269]
1242.06.09={holder=1019930190} #Bergu[1009990269]
1268.10.10={holder=1019930195} #Yetuniamu[1009990269]
1269.07.12={holder=1019930199} #Anco[1009990269]
1307.12.31={holder=1019930204} #Jotiantikaka[1009990269]
1353.08.11={holder=1019930205} #Bergu[1009990269]
1354.08.12={holder=1019930208} #Cápac[1009990269]
1394.12.23={holder=1019930217} #Puznaymun[1009990269]
1428.06.13={holder=1019930222} #Felan[1009990269]
