744.1.1={holder=1019919361} #Huitzilin[1009990161]
781.05.12={holder=1019919362} #Yolotli[1009990161]
818.12.26={holder=1019919365} #Yayauhqui[1009990161]
833.12.16={holder=1019919369} #Huitztecol[1009990161]
854.06.15={holder=1019919374} #Cuetlachtli[1009990161]
889.09.21={holder=1019919377} #Tlacaeleltzin[1009990161]
921.11.15={holder=1019919381} #Yolyamanitzin[1009990161]
987.04.18={holder=1019919387} #Tlacaelel[1009990161]
990.08.10={holder=1019919393} #Chimalpilli[1009990161]
1028.05.20={holder=1019919396} #Huitztecol[1009990161]
1036.04.15={holder=1019919401} #Huitzitl[1009990161]
1066.12.17={holder=1019919404} #Matlatzincatzin[1009990161]
1087.07.08={holder=1019919408} #Miztli[1009990161]
1122.12.15={holder=1019919414} #Atl[1009990161]
1172.07.17={holder=1019919417} #Acalan[1009990161]
1175.05.29={holder=1019919424} #Moctezuma[1009990161]
1216.12.14={holder=1019919431} #Coanacoch[1009990161]
1249.09.18={holder=1019919432} #Tochtli[1009990161]
1258.09.27={holder=1019919436} #Yolotli[1009990161]
1297.02.26={holder=1019919439} #Yolyamanitzin[1009990161]
1331.10.26={holder=1019919443} #Tezozomoc[1009990161]
1347.04.26={holder=1019919448} #Cipac[1009990161]
1370.11.10={holder=1019919451} #Yayauhqui[1009990161]
1423.04.27={holder=1019919456} #Cuitlahuac[1009990161]
1449.08.08={holder=1019919458} #Chimalpilli[1009990161]
