assyrian;Assyrian;Assyrien;Assyrer;;Asirio;;;;;;;;;x
hebrew;Hebrew;Hébreu;Hebräisch;;Hebreo;;;;;;;;;x
yevani;Yevani;Yevani;Yevani;;Yevani;;;;;;;;;x
italiki;Italiki;Italiki;Italiki;;Italiki;;;;;;;;;x
mizrahi;Mizrahi;Mizrahi;Mizrahi;;Mizrahi;;;;;;;;;x
falashi;Falashi;Falashi;Falashi;;Falashi;;;;;;;;;x
karai;Karai;Karai;Karai;;Karai;;;;;;;;;x
parasi;Parasi;Parasi;Parasi;;Parasi;;;;;;;;;x
hodui;Hodui;Hodui;Hodui;;Hodui;;;;;;;;;x
zhuhui;Zhuhui;Zhuhui;Zhuhui;;Zhuhui;;;;;;;;;x
coptic;Coptic;Copte;Koptisch;;Copto;;;;;;;;;x
guanchinet;Guanchinet;Guanches;Guanchen;;Guanchos;;;;;;;;;x
berberic;Berberic;Berbere;Berberischen;;Berberiscos;;;;;;;;;x
xianbei;Xianbei;Xianbei;Xianbei;;Xianbei;;;;;;;;;x
sivullirmiut;Sivullirmiut;Sivullirmiut;Sivullirmiut;Sivullirmiut;Sivullirmiut;;;;;;;;;x
tuniq;Tuniq;Tuniq;Tuniq;Tuniq;Tuniq;;;;;;;;;x
taiwanese;Taiwanese;Taïwanais;Taiwanisch;;Taiwáno;;;;;;;;;x
middag;Middag;Middag;Middag;;Middag;;;;;;;;;x
kilai;Kilai;Kilai;Kilai;;Kilai;;;;;;;;;x
omotic;Omotic;Omotic;Omotic;Omotic;Omotic;;;;;;;;;x
interior_cushitic;Interior Cushitic;Interior Cushitic;Interior Cushitic;Interior Cushitic;Interior Cushitic;;;;;;;;;x
syriac;Syriac;Syriac;Syriac;;Syriac;;;;;;;;;x
tai_kadai;Tai-Kadai;Tai-Kadai;Tai-Kadai;Tai-Kadai;Tai-Kadai;;;;;;;;;x
zhuang;Zhuang;Zhuang;Zhuang;Zhuang;Zhuang;;;;;;;;;x
hmong_mien;Hmong-Mien;Hmong-Mien;Hmong-Mien;Hmong-Mien;Hmong-Mien;;;;;;;;;x
hmong;Hmong;Hmong;Hmong;Hmong;Hmong;;;;;;;;;x
mien;Mien;Mien;Mien;Mien;Mien;;;;;;;;;x
lolo;Lolo;Lolo;Lolo;Lolo;Lolo;;;;;;;;;x
qiang;Qiang;Qiang;Qiang;Qiang;Qiang;;;;;;;;;x
nilotic;Nilotic;Nilotic;Nilotic;Nilotic;Nilotic;;;;;;;;;x
kalanga;Kalanga;Kalanga;Kalanga;Kalanga;Kalanga;;;;;;;;;x
karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;Karanga;x
east_bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;East Bantu;x
south_bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;South Bantu;x
wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;Wangozi;x
afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;Afroaustronesian;x
venda_tsonga;Venda-Tsonga;Venda-Tsonga;Venda-Tsonga;Venda-Tsonga;Venda-Tsonga;;;;;;;;;x
ila_tong;Ila-Tonga;Ila-Tonga;Ila-Tonga;Ila-Tonga;Ila-Tonga;;;;;;;;;x
swahili;Swahili;Swahili;Swahili;Swahili;Swahili;;;;;;;;;x
ivoir;Ivoir;Ivoir;Ivoir;Ivoir;;;;;;;;;x;
nigger;Nigerian;Nigerian;Nigerian;Nigerian;;;;;;;;;x;
cameroonian;Cameroonian;Cameroonian;Cameroonian;Cameroonian;;;;;;;;;x;
sudanese;Sudanese;Sudanese;Sudanese;Sudanese;;;;;;;;;x;
zambian;Zambian;Zambian;Zambian;Zambian;;;;;;;;;x;
gabonese;Gabonese;Gabonese;Gabonese;Gabonese;;;;;;;;;x;
angolan;Angolan;Angolan;Angolan;Angolan;;;;;;;;;x;
namibian;Namibian;Namibian;Namibian;Namibian;;;;;;;;;x;
botswanan;Botswanan;Botswanan;Botswanan;Botswanan;;;;;;;;;x;
south_african;South African;South African;South African;South African;;;;;;;;;x;
hubibi;Hubibi;Hubibi;Hubibi;Hubibi;;;;;;;;;x;
robana;Robana;Robana;Robana;Robana;;;;;;;;;x;
mozam;Mozam;Mozam;Mozam;Mozam;;;;;;;;;x;
tangan;Tangan;Tangan;Tangan;Tangan;;;;;;;;;x;
kenya;Kenya;Kenya;Kenya;Kenya;;;;;;;;;x;
zanzi;Zanzi;Zanzi;Zanzi;Zanzi;;;;;;;;;x;
kolokolo;Kolokolo;Kolokolo;Kolokolo;Kolokolo;;;;;;;;;x;
venda_bonga;Venda Bonga;Venda Bonga;Venda Bonga;Venda Bonga;;;;;;;;;x;
ainu;Ainu;Ainu;Ainu;Ainu;;;;;;;;;x;
australia_group;Aboriginal;Aboriginal;Aboriginal;Aboriginal;;;;;;;;;x;
australian;Aboriginal;Aboriginal;Aboriginal;Aboriginal;;;;;;;;;x;
zealander;Maori;Maori;Maori;Maori;;;;;;;;;x;
yakut;Evenk;Evenk;Evenk;Evenk;;;;;;;;;x;
far_north_east;Far Northeastern;;;;;;;;;;;;;x
chukchi;Chukchi;;;;;;;;;;;;;x
koryak;Koryak;;;;;;;;;;;;;x
itelmen;Itelmen;;;;;;;;;;;;;x
aleut;Aleut;;;;;;;;;;;;;x
even;Even;;;;;;;;;;;;;x
evenk;Yakut;;;;;;;;;;;;;x
khoi_san_group;Khoi-San-Group;Khoi-San-Group;Khoi-San-Group;Khoi-San-Group;Khoi-San-Group;;;;;;;;;x
khoi_san;Khoi-San;Khoi-San;Khoi-San;Khoi-San;Khoi-San;;;;;;;;;x
ruvu_kikuyu_takama;Ruvu-Kikuyu-Takama;Ruvu-Kikuyu-Takama;Ruvu-Kikuyu-Takama;Ruvu-Kikuyu-Takama;Ruvu-Kikuyu-Takama;;;;;;;;;x
ganda_rwanda_rundi;Ganda-Rwanda-Rundi;Ganda-Rwanda-Rundi;Ganda-Rwanda-Rundi;Ganda-Rwanda-Rundi;Ganda-Rwanda-Rundi;;;;;;;;;x
rufiji_nyasa;Rufiji-Nyasa;Rufiji-Nyasa;Rufiji-Nyasa;Rufiji-Nyasa;Rufiji-Nyasa;;;;;;;;;x
nahuatl;Nahuatl;Nahuatl;Nahuatl;Nahuatl;;;;;;;;;x;
tuniq;Tuniq;Tuniq;Tuniq;Tuniq;;;;;;;;;x;
tuniq_group;Tuniq;Tuniq;Tuniq;Tuniq;;;;;;;;;x;
inuit;Inuit;Inuit;Inuit;Inuit;;;;;;;;;x;
yupik;Yupik;Yupik;Yupik;Yupik;;;;;;;;;x;
cree;Cree;Cree;Cree;Cree;;;;;;;;;x;
mikmaq;Mikmaq;Mikmaq;Mikmaq;Mikmaq;;;;;;;;;x;
abenaki;Abenaki;Abenaki;Abenaki;Abenaki;;;;;;;;;x;
wabanaki_algonquian;Wabanaki Algonquian;Wabanaki Algonquian;Wabanaki Algonquian;Wabanaki Algonquian;;;;;;;;;x;
cree_algonquian;Cree Algonquian;Cree Algonquian;Cree Algonquian;Cree Algonquian;Cree Algonquian;;;;;;;;;x
blackfoot;Blackfoot;;;;;;;;;x
cheyenne;Cheyenne;;;;;;;;;x
menominee;Menominee;;;;;;;;;x
irenwa;Irenwa;;;;;;;;;x
yurok;Yurok;;;;;;;;;x
ojibwe;Ojibwe;;;;;;;;;x
anishinabe;Anishinabe;Anishinabe;Anishinabe;Anishinabe;;;;;;;;;x;
shawnee;Shawnee;Shawnee;Shawnee;Shawnee;Shawnee;;;;;;;;;x
innu;Innu;Innu;Innu;Innu;;;;;;;;;x;
atikamekw;Atikamekw;Atikamekw;Atikamekw;Atikamekw;;;;;;;;;x;
beothuk;Beothuk;Beothuk;Beothuk;Beothuk;;;;;;;;;x;
sivullirmiut;Sivullirmiut-Takama;Sivullirmiut-Takama;Sivullirmiut-Takama;Sivullirmiut-Takama;Sivullirmiut-Takama;;;;;;;;;x
mesoamerican;Nahuan;;;;;;;;;;;;;x
chorotega;Choluteca;;;;;;;;;;;;;x
powhatan;Powhatan;Powhatan;Powhatan;Powhatan;;;;;;;;;x;
mahican;Mahican;Mahican;Mahican;Mahican;;;;;;;;;x;
iroquois;Iroquois;Iroquois;Iroquois;Iroquois;;;;;;;;;x;
huron;Huron;Huron;Huron;Huron;;;;;;;;;x;
pequot;Pequot;Pequot;Pequot;Pequot;Pequot;;;;;;;;;x
delaware;Delaware;Delaware;Delaware;Delaware;Delaware;;;;;;;;;x
iroquoian;Iroquoian;Iroquoian;Iroquoian;Iroquoian;Iroquoian;;;;;;;;;x
susquehannock;Susquehannock;Susquehannock;Susquehannock;Susquehannock;;;;;;;;;x;
catawba;Catawba;Catawba;Catawba;Catawba;Catawba;;;;;;;;;x
creek;Creek;Creek;Creek;Creek;;;;;;;;;x;
muskogean;Muskogean;Muskogean;Muskogean;Muskogean;Muskogean;;;;;;;;;x
cherokee;Cherokee;Cherokee;Cherokee;Cherokee;Cherokee;;;;;;;;;x
carribean;Carribean;Carribean;Carribean;Carribean;Carribean;;;;;;;;;x
taino;Taino;Taino;Taino;Taino;Taino;;;;;;;;;x
totonac;Totonac;Totonac;Totonac;Totonac;Totonac;;;;;;;;;x
otomanguean;Otomanguean;Otomanguean;Otomanguean;Otomanguean;Otomanguean;;;;;;;;;x
tlapanec;Tlapanec;Tlapanec;Tlapanec;;Tlapanec;;;;;;;;;x
mixtec;Mixtec;Mixtec;Mixtec;Mixtec;Mixtec;;;;;;;;;x
otopamean;Otomi;;;;;;;;;;;;;x
zapotek;Zapotek;Zapotek;Zapotek;Zapotek;Zapotek;;;;;;;;;x
