emperor_quechua;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_female_quechua;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_aimara;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_female_aimara;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_diaguita;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_female_diaguita;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_chimuan;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
emperor_female_chimuan;Sapa;Sapa;Sapa;;Sapa;;;;;;;;;x
wonder_maya_pyramid_desc;The house of the Gods, an Maya Pyramid is the holy place where messengers can be sent to the Them, by decapitating the victims' heads.;Cette pyramide Maya est la maison sacrée des dieux où des messagers peuvent être envoyés avec des têtes décapitées en offrande.;Die Maya Pyramide ist das Haus der Götter und ein heiliger Ort, an den Abgesandte geschickt werden können, um ihnen die Köpfe abzuschlagen.;;Una pirámide maya, la casa de los dioses, es un lugar sagrado donde se les pueden enviar mensajeros cortando la cabeza de las víctimas.;;;;;;;;x
wonder_maya_pyramid;Maya Pyramid;Pyramide maya;Maya pyramide;;Pirámide maya;;;;;;;;;x
b_bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;Bermuda;x
b_bermuda-ii;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;Bermuda-II;x
b_bermuda-iii;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;Bermuda-III;x
b_galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;Galapagos;x
b_galapagos-ii;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;Galapagos-II;x
b_galapagos-iii;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;Galapagos-III;x
b_diego_garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;Diego Garcia;x
b_diego_garcia-ii;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;Diego Garcia-II;x
b_diego_garcia-iii;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;Diego Garcia-III;x
b_bourbon1;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;Bourbon;x
b_bourbon1-ii;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;Bourbon-II;x
b_bourbon1-iii;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;Bourbon-III;x
b_mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;Mauritius;x
b_mauritius-ii;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;Mauritius-II;x
b_mauritius-iii;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;Mauritius-III;x
b_mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;Mahe;x
b_mahe-ii;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;Mahe-II;x
b_mahe-iii;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;Mahe-III;x
b_aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;Aldabra;x
b_aldabra-ii;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;Aldabra-II;x
b_aldabra-iii;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;Aldabra-III;x
b_christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;Christmas;x
b_christmas-ii;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;Christmas-II;x
b_christmas-iii;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;Christmas-III;x
b_cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;Cocos;x
b_cocos-ii;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;Cocos-II;x
b_cocos-iii;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;Cocos-III;x
b_whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;Whangarei;x
b_whangarei-ii;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;Whangarei-II;x
b_whangarei-iii;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;Whangarei-III;x
b_rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;Rekohu;x
b_rekohu-ii;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;Rekohu-II;x
b_rekohu-iii;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;Rekohu-III;x
b_cape_verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;Cape Verde;x
b_cape_verde-ii;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;Cape Verde-II;x
b_cape_verde-iii;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;Cape Verde-III;x
b_timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;Timbun;x
b_bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;Bahia;x
b_bahia-ii;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;Bahia-II;x
b_bahia-iii;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;Bahia-III;x
b_bahia-iv;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;Bahia-IV;x
b_bahia-v;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;Bahia-V;x
b_bahia-vi;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;Bahia-VI;x
