# the real honour guard was the adventures we had and the friends we made along the way

RETTYPE_HONOURGUARD;[Root.GetTitle]'s Honour Guard;;;;;;;;;;;;x

recruit_honour_guard;Form an Honour Guard;;;;;;;;;;;;x
recruit_honour_guard_desc;Assemble a special Honour Guard tasked with defending your person against mortal dangers, from court plots to battlefield challengers.;;;;;;;;;;;;x

disband_honour_guard;Disband the Honour Guard;;;;;;;;;;;;x
disband_honour_guard_desc;Release your personal guards from service.;;;;;;;;;;;;x

EVTDESC_HonourGuard_101;An honour guard is charged primarily with the defence of their [Root.GetTitle], but their place at my side has significance beyond the sword at theirs. The configuration of my honour guard will be a reflection of my reign. I must therefore be certain in my decision, as choosing unwisely may not achieve the protection I need.;;;;;;;;;;;;x
EVTOPTA_HonourGuard_101;Let's begin.;;;;;;;;;;;;x
EVTOPTB_HonourGuard_101;Not right now.;;;;;;;;;;;;x

EVTDESC_HonourGuard_102;First I must choose whether my guard be comprised of men or women. Men are typically better suited to such martial roles, though women's intuition could save my life against malicious plots. How will I be viewed if I surround myself with one or the other?;;;;;;;;;;;;x
EVTOPTA_HonourGuard_102;Sworn men-at-arms would presumably die for their [Root.GetTitle].;;;;;;;;;;;;x
EVTOPTB_HonourGuard_102;Women may be more useful in other ways.;;;;;;;;;;;;x
EVTOPTC_HonourGuard_102;Sworn men-at-arms would die quite willingly for their [Root.GetTitle].;;;;;;;;;;;;x
EVTOPTD_HonourGuard_102;I trust other women more than I trust men.;;;;;;;;;;;;x

EVTDESC_HonourGuard_103;My vassals would obviously prefer that I select champions from among the ranks of gentlefolk, though my guards' loyalty to me would always be in question. On the other hand, warriors of common birth may be less inclined to stab me in the back. What the peasants lack in formal training they most certainly make up for in street smarts, but the nobility would not be pleased.;;;;;;;;;;;;x
EVTOPTA_HonourGuard_103;Skilled knights are what I seek.;;;;;;;;;;;;x
EVTOPTB_HonourGuard_103;My protectors ought to be indifferent to court intrigue.;;;;;;;;;;;;x

EVTDESC_HonourGuard_104;Finally, I must consider whether to draw my guards from within my realm or look beyond our borders. A devout [Root.GetTitle] would certainly prefer the company of like-minded faithful, but like-mindedness isn't always beneficial. Equally, infidels with few allies at court would support whoever tolerates them - a contract that protects them as much as it does me.;;;;;;;;;;;;x
EVTOPTA_HonourGuard_104;I'll not suffer the presence of infidels.;;;;;;;;;;;;x
EVTOPTB_HonourGuard_104;Infidels and I could find mutual protection in one another.;;;;;;;;;;;;x

EVTDESC_HonourGuard_105;Am I satisfied with these choices or might I consider an alternative arrangement?;;;;;;;;;;;;x
EVTOPTA_HonourGuard_105;I shall notify the relevant parties immediately.;;;;;;;;;;;;x
EVTOPTB_HonourGuard_105;A different design may be preferable.;;;;;;;;;;;;x
EVTOPTC_HonourGuard_105;Perhaps I should focus on more important things.;;;;;;;;;;;;x

EVTDESC_HonourGuard_110;A distinguished member of the outgoing honour guard, [honour_guard_target.GetDynName], humbly requests to remain in my service.;;;;;;;;;;;;x
EVTOPTA_HonourGuard_110;[honour_guard_target.GetSheHeCap]'s welcome to join us.;;;;;;;;;;;;x
