#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
flag_province;Keep [Root.Capital.GetName] and it's duchy;Keep [Root.Capital.GetName] and it's duchy;Keep [Root.Capital.GetName] and it's duchy;;Keep [Root.Capital.GetName] and it's duchy;;;;;;;;;x
flag_province_desc;Spare §Y[Root.Capital.GetName]§! and all provinces in §Y[Root.Capital.Duchy.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';Spare §Y[Root.Capital.GetName]§! and all provinces in §Y[Root.Capital.Duchy.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';Spare §Y[Root.Capital.GetName]§! and all provinces in §Y[Root.Capital.Duchy.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';;Spare §Y[Root.Capital.GetName]§! and all provinces in §Y[Root.Capital.Duchy.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';;;;;;;;;x
flag_province_marshal;Marshal: Keep [Root.job_marshal.Location.GetName];Marshal: Keep [Root.job_marshal.Location.GetName];Marshal: Keep [Root.job_marshal.Location.GetName];;Marshal: Keep [Root.job_marshal.Location.GetName];;;;;;;;;x
flag_province_marshal.250001.desc;Your Marshal marks the province [Root.job_marshal.Location.GetName]. Now that it's marked, it will be spared from distribution to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';Your Marshal marks the province [Root.job_marshal.Location.GetName]. Now that it's marked, it will be spared from distribution to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';Your Marshal marks the province [Root.job_marshal.Location.GetName]. Now that it's marked, it will be spared from distribution to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';;Your Marshal marks the province [Root.job_marshal.Location.GetName]. Now that it's marked, it will be spared from distribution to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';;;;;;;;;x
flag_province_marshal.250001.opta;You are happy.;You are happy.;You are happy.;;You are happy.;;;;;;;;;x
flag_province_marshal_desc;Spare §Y[Root.job_marshal.Location.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action.;Spare §Y[Root.job_marshal.Location.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action.;Spare §Y[Root.job_marshal.Location.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action.;;Spare §Y[Root.job_marshal.Location.GetName]§! from distribution.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action.;;;;;;;;;x
flag_province_p_event.250001.desc;You mark [Root.Capital.GetName] and all other provinces in the de-jure duchy [Root.Capital.Duchy.GetName].\n Now that you have marked them they will no longer be distributed to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';You mark [Root.Capital.GetName] and all other provinces in the de-jure duchy [Root.Capital.Duchy.GetName].\n Now that you have marked them they will no longer be distributed to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';You mark [Root.Capital.GetName] and all other provinces in the de-jure duchy [Root.Capital.Duchy.GetName].\n Now that you have marked them they will no longer be distributed to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';;You mark [Root.Capital.GetName] and all other provinces in the de-jure duchy [Root.Capital.Duchy.GetName].\n Now that you have marked them they will no longer be distributed to vassals.\n To mark a specific province just raise an army in that province and make your marshal lead it. Or use any marshal job action and use 'Marshal: Keep XXX';;;;;;;;;x
flag_province_p_event.250001.opta;You are happy.;You are happy.;You are happy.;;You are happy.;;;;;;;;;x
keep_it;You will keep this province for yourself.\n It will be spared from distribution to vassals.;You will keep this province for yourself.\n It will be spared from distribution to vassals.;You will keep this province for yourself.\n It will be spared from distribution to vassals.;;You will keep this province for yourself.\n It will be spared from distribution to vassals.;;;;;;;;;x
banish_all;Banish unrelated courtiers;Banish unrelated courtiers;Banish unrelated courtiers;;Banish unrelated courtiers;;;;;;;;;x
