# Caesar's Books by CaesarTheRoman

cbs_fixed;Book of Fixed Stars;;;;;;;;;;;;;x
cbs_fixed_desc;Treatise on astronomy by Abd al-Rahman al-Sufi. Includes a star catalogue and star charts.;;;;;;;;;;;;;x
 
cbs_pahnut;Paphnutius;;;;;;;;;;;;;x
cbs_pahnut_desc;A play by Hrotsvitha of Gandersheim. It concerns the relationship between St. Thaïs, a courtesan of Alexandria in Roman Egypt, and Paphnutius the Ascetic, who offers her conversion to Christianity.;;;;;;;;;;;;;x
 
cbs_sefer;Sefer Yosipon;;;;;;;;;;;;;x
cbs_sefer_desc;'A History of the Jews from Adam to the age of Titus' is believed to have been written by Josippon or Josephus Flavius (Joseph ben Matityahu) or by a medieval Italian Jew called Yosef Ben Gurion.;;;;;;;;;;;;;x

cbs_thorsdr;Þórsdrápa;;;;;;;;;;;;;x
cbs_thorsdr_desc;Skaldic poem with Thor as its protagonist. Noted for its creative use of kennings and other metaphorical devices, as well as its labyrinthine complexity.;;;;;;;;;;;;;x
 
cbs_shahna;Shahnameh;;;;;;;;;;;;;x
cbs_shahna_desc;An epic poem by the great Ferdowsi, also known as "The Book of Kings". It tells mainly the mythical and to some extent the historical past of the Persian Empire from the creation of the world until the Arab conquest.;;;;;;;;;;;;;x

cbs_aghani;Kitab al-Aghani;;;;;;;;;;;;;x
cbs_aghani_desc;"The Book of Songs" is an encyclopedic collection of poems and songs by the 10th-century Arabic litterateur Abu al-Faraj al-Isfahani.;;;;;;;;;;;;;x

cbs_aethel;Benedictional of St. Æthelwold;;;;;;;;;;;;;x
cbs_aethel_desc;Benedictional including pontifical benedictions for use at mass at different points of the liturgical year.;;;;;;;;;;;;;x

cbs_vamsa;Bodhi Vamsa;;;;;;;;;;;;;x
cbs_vamsa_desc;An elaborate prose poem in that recounts the story of the Bodhi tree of Anuradhapura. It is attributed to a monk called Upatissa who lived in Sri Lanka, and is written in the kavya style.;;;;;;;;;;;;;x

cbs_actibus;De Origine Actibusque Getarum;;;;;;;;;;;;;x
cbs_actibus_desc;"The Origin and Deeds of the Goths" was written in Latin by Jordanes in or shortly after 551 AD and claims to be a summary of the origin and history of the Gothic people, which is now lost. It gives the full story of the origin and history of the Goths and the early history and the customs of Slavs.;;;;;;;;;;;;;x

cbs_eccles;Historia Ecclesiastica;;;;;;;;;;;;;x
cbs_eccles_desc;An ecclesiastical history of the Byzantine Empire from the First Council of Ephesus to the time in which he was writing. The book's contents focus mainly on religious matters, describing the events surrounding notable bishops and holy men.;;;;;;;;;;;;;x

cbs_gentis;Historia Ecclesiastica Gentis Anglorum;;;;;;;;;;;;;x
cbs_gentis_desc;"The Ecclesiastical History of the English People" written by the Venerable Bede, is a history of the Christian Churches in England, and of England generally; its main focus is on the conflict between the pre-Schism Roman Rite and Celtic Christianity.;;;;;;;;;;;;;x

cbs_kitab;Kitab al-Manazir;;;;;;;;;;;;;x
cbs_kitab_desc;"The Book of Optics" is a treatise composed by the Arab scholar Alhazen. Presents experimentally founded arguments against Euclid's extramission theory of vision and in favor of intromission theory, as supported by thinkers such as Aristotle.;;;;;;;;;;;;;x

cbs_sponsus;Sponsus;;;;;;;;;;;;;x
cbs_sponsus_desc;"The Bridegroom" is a Occitan dramatic treatment of the parable of the ten virgins. A liturgical play designed for Easter Vigil, it was composed in Gascony. Its scriptural basis is found in the Gospel of Matthew but also draws on the Patristics.;;;;;;;;;;;;;x

cbs_elucid;Elucidarium;;;;;;;;;;;;;x
cbs_elucid_desc;So called because it "elucidates the obscurity of various things". An encyclopedic work about Christian theology and folk belief, written by Honorius Augustodunensis when he was a young man. It was intended as a handbook for the lower and less educated clergy.;;;;;;;;;;;;;x

cbs_tahafut;Tahafut al-Falasifah;;;;;;;;;;;;;x
cbs_tahafut_desc;"The Incoherence of the Philosophers" is a Persian work by theologian Al-Ghazali, a student of the Asharite school. The belief that causal events and interactions are not the product of material conjunctions but rather the immediate and present Will of God underlies the work.;;;;;;;;;;;;;x

cbs_dunelm;De situ Dunelmi;;;;;;;;;;;;;x
