EVTNAME1972000;Welcome to Dark Ages!;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC1972000;Get ready for more detail, meaningful choices and role play in your Crusader Kings 2 experience. With many more options for you to take, with many more dilemmas for you to deal with, this is the mod for those who enjoy immersion in the game.\n\nTake this bold step but before doing so, check if you have any of my other mods for Crusader Kings 2 installed. If that is the case, uninstall them as they are all included in this much bigger and comprehensive mod.;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1972000;Enjoy the ride!;;;;;;;;;;;;;x;;;;;;;;;;;;;;
EVTNAME1972001;Storm!;;;;¡Tormenta!;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC1972001;After weeks at sea, one day the sky became the colour of lead and a huge storm caught my war fleet, causing serious loss of life among the troops and the leaders...;;;;Después de semanas en el mar, un día el cielo se volvió del color del plomo y una gran tormenta atrapó mi flota de guerra, causando graves pérdidas de vidas entre las tropas y los líderes ...;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1972001;Those are bad news...;;;;Esas son malas noticias ...;;;;;;;;;x;;;;;;;;;;;;;;
DA_CUSTOMTOOLTIP1;As I am also embarked in the same fleet in [Root.Location.GetName], I run the risk of drowning too...\n;;;;Como también estoy embarcado en la misma flota en [Root.Location.GetName], también corro el riesgo de ahogarme ... \n;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC1972002;My infancy has been defined by brawls, fights and physical contests. I was never fond of playing with the other girls whom you found annoying and futile, instead preferring the company of boys. Now that I grew up, it's time to see if I'll be a tommy boy for my life or if instead I'll follow a more traditional role...;;;;Mi infancia ha sido definida por peleas, peleas y concursos físicos. Nunca me gustó jugar con las otras chicas a las que encontrabas molestas y fútiles, sino que prefería la compañía de chicos. Ahora que crecí, es hora de ver si seré una hombrun toda mi vida o si en cambio seguiré un papel más tradicional ...;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTB1972002;Better to be more conformant with social stereotypes...;;;;Es mejor estar más conforme con los estereotipos sociales ...;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1972002;I will be a maverick forever!;;;;¡Seré un rebelde para siempre!;;;;;;;;;x;;;;;;;;;;;;;;
tutor;Tutor;;;;Tutor;;;;;;;;;x;;;;;;;;;;;;;;
tutor_desc;This character is particularly skilled in teaching others, thus being a better Guardian;;;;Este personaje es particularmente hábil para enseñar a otros, por lo tanto, es un mejor Guardián.;;;;;;;;;x;;;;;;;;;;;;;;
EVTNAME1972003;Knowledge is Power;;;;El conocimiento es poder;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC1972003;After perusing some old texts brought by a savvy merchant, given my extensive culture and inquisitive mind, I can buy some of them in order to study and attempt to increase an area of knowledge. What will I do?;;;;Después de leer algunos textos antiguos traídos por un comerciante inteligente, dada mi extensa cultura y mente inquisitiva, puedo comprar algunos de ellos para estudiar e intentar aumentar un área de conocimiento. ¿Que haré?;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1972003;I'll pick the Military essays;;;;Elegiré los ensayos militares;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTB1972003;I'll pick the Diplomatic parchments;;;;Elegiré los pergaminos diplomáticos;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTC1972003;I'll pick the Management studies;;;;Elegiré los estudios de gestión;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTD1972003;I'll pick the Intrigue documents;;;;Elegiré los documentos de intriga;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTE1972003;I'll pick the Philosophy Classics;;;;Elegiré los clásicos de la filosofía;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTF1972003;I have better things to do with my time;;;;Tengo mejores cosas que hacer con mi tiempo;;;;;;;;;x;;;;;;;;;;;;;;
EVTNAME1972004;Ignorance Conquered!;;;;¡La ignorancia conquistada!;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC1972004;After spending my last year browsing old texts I am able to improve my knowledge. I guess it is time to congratulate myself!;;;;Después de pasar mi último año buscando textos antiguos, puedo mejorar mi conocimiento. ¡Supongo que es hora de felicitarme!;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1972004;It was time well spent!;;;;¡Fue un tiempo bien empleado!;;;;;;;;;x;;;;;;;;;;;;;;
EVTNAME1972005;Knowledge Eludes You...;;;;El conocimiento te elude ...;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESC1972005;Unfortunately, after spending your last year browsing old texts you were not able to improve your knowledge...;;;;Desafortunadamente, después de pasar el último año explorando textos antiguos, no pudo mejorar su conocimiento ...;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTA1972005;A pity...;;;;Una pena...;;;;;;;;;x;;;;;;;;;;;;;;
learning;Learning;;;;Aprendizaje;;;;;;;;;x;;;;;;;;;;;;;;
