#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Modifiers
society_heir;Designated Heir;;;;;;;;;;;;;
society_heir_desc;This person has been designated as heir to a knightly order;;;;;;;;;;;;;;;
diplo_horse;Handsome Horse;;;;;;;;;;
diplo_horse_desc;This person rides a particularly handsome horse;;;;;;;;;;;;
mil_horse;War Horse;;;;;;;;;;
mil_horse_desc;This person rides a particularly fearsome horse into battle;;;;;;;;;;;;
plus_diplo_horse;Very Handsome Horse;;;;;;;;;;
plus_diplo_horse_desc;This person rides an extraordinarily handsome horse;;;;;;;;;;;;
plus_mil_horse;Great War Horse;;;;;;;;;;
plus_mil_horse_desc;This person rides an extraordinarily fearsome horse into battle;;;;;;;;;;;;
dismissed_courtly;Dismissed Courtly Advances;;;;;;;;;;;;;;
dismissed_courtly_desc;This person has dismissed the courtly advances of a knight;;;;;;;;;;;;
partial_book_seclusion;Secluded for Writing;;;;;;;;;;;;
partial_book_seclusion_desc;This person has secluded themselves in the hopes of writing a great poetic work;;;;;;;;;;;

#Traits
book_seclusion;Secluded for Writing;;;;;;;;;;;;
book_seclusion_desc;This person has secluded themselves in the hopes of writing a great poetic work;;;;;;;;;;;

#Squire
title_knight_squire;Squire;;;;;;;;;;
title_knight_squire_desc;A squire serves as an attendant to a knight and trains to become a knight themselves;;;;;;;;;;;

#Society names
military_knights;Order of the Star;;;;;;;;;;;;;x
military_knights1;Order of the Dragon;;;;;;;;;;;;;x
military_knights2;Order of Saint George;;;;;;;;;;;;;x
diplomatic_knights;Order of the Garter;;;;;;;;;;;;;x
diplomatic_knights1;Order of the Golden Fleece;;;;;;;;;;;;;x
diplomatic_knights2;Order of the Thistle;;;;;;;;;;;;;x

#Society description
military_knights_desc;The Order of the Star is a military order of knights, warriors from different lands join together to defend the weak in the name of the Faith, all with the guidance of a great lord. While that is the stated purpose, many also join for fortune and glory.;;;;;;;;;;;;;x
military_knights1_desc;The Order of the Dragon is a military order of knights, warriors from different lands join together to defend the weak in the name of the Faith, all with the guidance of a great lord. While that is the stated purpose, many also join for fortune and glory.;;;;;;;;;;;;;x
military_knights2_desc;The Order of Saint George is a military order of knights, warriors from different lands join together to defend the weak in the name of the Faith, all with the guidance of a great lord. While that is the stated purpose, many also join for fortune and glory.;;;;;;;;;;;;;x
diplomatic_knights_desc;The Order of the Garter is a diplomatic order of knights, nobles from different lands join together to defend the weak in the name of the Faith, all with the guidance of a great lord. While that is the stated purpose, many also join for the prestige that comes with this exclusive club.;;;;;;;;;;;;;x
diplomatic_knights1_desc;The Order of the Golden Fleece is a diplomatic order of knights, nobles from different lands join together to defend the weak in the name of the Faith, all with the guidance of a great lord. While that is the stated purpose, many also join for the prestige that comes with this exclusive club.;;;;;;;;;;;;;x
diplomatic_knights2_desc;The Order of the Thistle is a diplomatic order of knights, nobles from different lands join together to defend the weak in the name of the Faith, all with the guidance of a great lord. While that is the stated purpose, many also join for the prestige that comes with this exclusive club.;;;;;;;;;;;;;x

#Leader description
military_knights_leader_desc;The grandmaster guides and defends the order and will pass it through their family;;;;;;;;;;;;;x
military_knights1_leader_desc;The grandmaster guides and defends the order and will pass it through their family;;;;;;;;;;;;;x
military_knights2_leader_desc;The grandmaster guides and defends the order and will pass it through their family;;;;;;;;;;;;;x
diplomatic_knights_leader_desc;The grandmaster guides and defends the order and will pass it through their family;;;;;;;;;;;;;x
diplomatic_knights1_leader_desc;The grandmaster guides and defends the order and will pass it through their family;;;;;;;;;;;;;x
diplomatic_knights2_leader_desc;The grandmaster guides and defends the order and will pass it through their family;;;;;;;;;;;;;x

##Name of the ranks

#Order of the Star
military_knights_rank_1_female;Knight;;;;;;;;;;;;;x
military_knights_rank_2_female;Officer;;;;;;;;;;;;;x
military_knights_rank_3_female;Commander;;;;;;;;;;;;;x
military_knights_rank_4_female;Grandmaster;;;;;;;;;;;;;x
military_knights_rank_1_male;Knight;;;;;;;;;;;;;x
military_knights_rank_2_male;Officer;;;;;;;;;;;;;x
military_knights_rank_3_male;Commander;;;;;;;;;;;;;x
military_knights_rank_4_male;Grandmaster;;;;;;;;;;;;;x

#Order of the Dragon
military_knights1_rank_1_female;Knight;;;;;;;;;;;;;x
military_knights1_rank_2_female;Officer;;;;;;;;;;;;;x
military_knights1_rank_3_female;Commander;;;;;;;;;;;;;x
military_knights1_rank_4_female;Grandmaster;;;;;;;;;;;;;x
military_knights1_rank_1_male;Knight;;;;;;;;;;;;;x
military_knights1_rank_2_male;Officer;;;;;;;;;;;;;x
military_knights1_rank_3_male;Commander;;;;;;;;;;;;;x
military_knights1_rank_4_male;Grandmaster;;;;;;;;;;;;;x

#Order of Saint George
military_knights2_rank_1_female;Knight;;;;;;;;;;;;;x
military_knights2_rank_2_female;Officer;;;;;;;;;;;;;x
military_knights2_rank_3_female;Commander;;;;;;;;;;;;;x
military_knights2_rank_4_female;Grandmaster;;;;;;;;;;;;;x
military_knights2_rank_1_male;Knight;;;;;;;;;;;;;x
military_knights2_rank_2_male;Officer;;;;;;;;;;;;;x
military_knights2_rank_3_male;Commander;;;;;;;;;;;;;x
military_knights2_rank_4_male;Grandmaster;;;;;;;;;;;;;x

#Order of the Garter
diplomatic_knights_rank_1_female;Knight;;;;;;;;;;;;;x
diplomatic_knights_rank_2_female;Officer;;;;;;;;;;;;;x
diplomatic_knights_rank_3_female;Commander;;;;;;;;;;;;;x
diplomatic_knights_rank_4_female;Grandmaster;;;;;;;;;;;;;x
diplomatic_knights_rank_1_male;Knight;;;;;;;;;;;;;x
diplomatic_knights_rank_2_male;Officer;;;;;;;;;;;;;x
diplomatic_knights_rank_3_male;Commander;;;;;;;;;;;;;x
diplomatic_knights_rank_4_male;Grandmaster;;;;;;;;;;;;;x

#Order of the Golden Fleece
diplomatic_knights1_rank_1_female;Knight;;;;;;;;;;;;;x
diplomatic_knights1_rank_2_female;Officer;;;;;;;;;;;;;x
diplomatic_knights1_rank_3_female;Commander;;;;;;;;;;;;;x
diplomatic_knights1_rank_4_female;Grandmaster;;;;;;;;;;;;;x
diplomatic_knights1_rank_1_male;Knight;;;;;;;;;;;;;x
diplomatic_knights1_rank_2_male;Officer;;;;;;;;;;;;;x
diplomatic_knights1_rank_3_male;Commander;;;;;;;;;;;;;x
diplomatic_knights1_rank_4_male;Grandmaster;;;;;;;;;;;;;x

#Order of Thistle
diplomatic_knights2_rank_1_female;Knight;;;;;;;;;;;;;x
diplomatic_knights2_rank_2_female;Officer;;;;;;;;;;;;;x
diplomatic_knights2_rank_3_female;Commander;;;;;;;;;;;;;x
diplomatic_knights2_rank_4_female;Grandmaster;;;;;;;;;;;;;x
diplomatic_knights2_rank_1_male;Knight;;;;;;;;;;;;;x
diplomatic_knights2_rank_2_male;Officer;;;;;;;;;;;;;x
diplomatic_knights2_rank_3_male;Commander;;;;;;;;;;;;;x
diplomatic_knights2_rank_4_male;Grandmaster;;;;;;;;;;;;;x

#Create Order
military_knights_creation;Create an Order of Military Knights;;;;;;;;;;;
military_knights_creation_desc;Become the head of a new martial Order of Knights that you and your heirs will guide.;;;;;;;;;;;;;;;
diplomatic_knights_creation;Create an Order of Diplomatic Knights;;;;;;;;;;;
diplomatic_knights_creation_desc;Become the head of a new diplomatic Order of Knights that you and your heirs will guide.;;;;;;;;;;;;;;;

#Rank up decision 
request_to_rank_up_within_military_knights;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_military_knights1;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_military_knights2;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_military_knights_tt;Has Honor greater or equal to [Root.GetKnightlyRankUpTooltip];;;;;;;;;;;;;x
must_not_have_sent_request_already_tooltip;Must not have sent request already;;;;;;;;;;;;;;
must_be_allowed_to_rank_up_tooltip;Must be allowed to rank up;;;;;;;;;;;;;;
must_have_grandmaster_tooltip;Grandmaster exists;;;;;;;;;;;;;
request_to_rank_up_within_diplomatic_knights;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_diplomatic_knights1;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_diplomatic_knights2;Request a Promotion.;;;;;;;;;;;;;x
request_to_rank_up_within_diplomatic_knights_tt;Has Honor greater or equal to [Root.GetKnightlyRankUpTooltip];;;;;;;;;;;;;x

#Powers
military_knights_power_1;Search for a Squire;;;;;;;;;;;;;x
military_knights_power_1_desc;Send men out to find someone to assist in your knightly duties;;;;;;;;;;;;;x
military_knights_power_1_power_desc;Send men out to find someone to assist in your knightly duties;;;;;;;;;;;;;x
military_knights_power_2p;Set Up a Pas d'Armes;;;;;;;;;;;;;x
