#;;;;;;;;;;;;;;x
#§
############
## EVENTS ##
############
# lmmpvf_faction.101
EVTDESC_Normal_lmmpvf_faction.101;It is time for a yearly meeting with all of your supporters in the realm. You sit at length with them around the table and discuss matters of import. They tell you that they are doing their best to help you achieve the faction's goal to [Root.lmmpvf_GetFactionGoal]. It is time for you to make a speech.;;;;;;;;;;;;;x
EVTDESC_NeedMembers_lmmpvf_faction.101;This would have been a perfect time for a yearly meeting with your supporters. However, currently no one in the realm is a member of your faction.;;;;;;;;;;;;;x
EVTDESC_GoalSuccess_lmmpvf_faction.101;At the yearly meeting, you are welcomed with some wonderful news. Thanks to the unyielding efforts of your supporters, the faction has succeeded in its goal to [lmmpvf_GetFactionGoal]. It is time to celebrate and congratulate each other. Next year, you will be able to announce a new goal for the faction!;;;;;;;;;;;;;x
#EVTDESC_GoalSuccessCanChangeFocus_lmmpvf_faction.101;At the yearly meeting, you are welcomed with some wonderful news. Thanks to the unyielding efforts of your supporters, the faction has succeeded in its goal to [From.lmmpvf_GetFactionGoal]. The faction has spent a long time with its focus on [lmmpvf_GetFactionFocus], perhaps it is time to try something new...;;;;;;;;;;;;;x
EVTDESC_GoalFailure_lmmpvf_faction.101;Sad news and long faces abound at the yearly meeting. The faction has so far been unable to [lmmpvf_GetFactionGoal] despite all the efforts for a long time. Perhaps another goal is what we are destined to pursue. It is time to reflect on the situation, and in the next year's meeting you will be able to announce a new goal for the faction!;;;;;;;;;;;;;x
#EVTDESC_GoalFailureCanChangeFocus_lmmpvf_faction.101;Sad news and long faces abound at the yearly meeting. The faction has so far been unable to [lmmpvf_GetFactionGoal] despite all the efforts for a long time. Perhaps another goal or another focus altogether is what we are destined to pursue...;;;;;;;;;;;;;x
EVTOPT_NeedMembers_lmmpvf_faction.101;I must recruit people;;;;;;;;;;;;;x
EVTOPT_AnnounceNewGoal_lmmpvf_faction.101;Announce a new goal;;;;;;;;;;;;;x
EVTOPT_ContinueWork_lmmpvf_faction.101;Continue the good work;;;;;;;;;;;;;x
EVTOPT_AskForWealth_lmmpvf_faction.101;Ask for Wealth contribution;;;;;;;;;;;;;x
EVTOPT_AskForPrestige_lmmpvf_faction.101;Ask for Prestige contribution;;;;;;;;;;;;;x
EVTOPT_AskForPiety_lmmpvf_faction.101;Ask for Piety contribution;;;;;;;;;;;;;x
lmmpvf_ctt_only_members_of_your_religion_will_be_asked;Only members of the §Y[Root.Religion.GetName]§! faith will be asked.;;;;;;;;;;;;;x
EVTOPT_AskToPledgeWarSupport_lmmpvf_faction.101;Ask the members to pledge war support;;;;;;;;;;;;;x
