#ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
convert_to_burgundian;Convert to Burgundian;;;;;;;;;x
convert_to_burgundian_desc;Adopt the Burgindian culture;;;;;;;;;x
convert_to_tuscan;Convert to Tuscan;;;;;;;;;x
convert_to_tuscan_desc;Adopt the Tuscan culture;;;;;;;;;x
convert_to_ligurian;Convert to Ligurian;;;;;;;;;x
convert_to_ligurian_desc;Adopt the Ligurian culture;;;;;;;;;x
convert_to_sicilian;Convert to Sicilian;;;;;;;;;x
convert_to_sicilian_desc;Adopt the Sicilian culture;;;;;;;;;x
convert_to_venetian;Convert to Venetian;;;;;;;;;x
convert_to_venetian_desc;Adopt the Venetian culture;;;;;;;;;x
convert_to_neapolitan;Convert to Neapolitan;;;;;;;;;x
convert_to_neapolitan_desc;Adopt the Neapolitan culture;;;;;;;;;x
convert_to_piedmontese;Convert to Piedmontese;;;;;;;;;x
convert_to_piedmontese_desc;Adopt the Piedmontese culture;;;;;;;;;x
convert_to_romagnan;Convert to Romagnan;;;;;;;;;x
convert_to_romagnan_desc;Adopt the Romagnan culture;;;;;;;;;x
convert_to_sardinian;Convert to Sardinian;;;;;;;;;x
convert_to_sardinian_desc;Adopt the Sardinian culture;;;;;;;;;x
convert_to_umbrian;Convert to Umbrian;;;;;;;;;x
convert_to_umbrian_desc;Adopt the Umbrian culture;;;;;;;;;x
convert_to_aragonese;Convert to Aragonese;;;;;;;;;x
convert_to_aragonese_desc;Adopt the Aragonese culture;;;;;;;;;x
convert_to_galician;Convert to Galician;;;;;;;;;x
convert_to_galician_desc;Adopt the Galician culture;;;;;;;;;x
convert_to_leonese;Convert to Leonese;;;;;;;;;x
convert_to_leonese_desc;Adopt the Leonese culture;;;;;;;;;x
convert_to_lombard;Convert to Lombard;;;;;;;;;x
convert_to_lombard_desc;Adopt the Lombard culture;;;;;;;;;x
convert_to_gascon;Convert to Gascon;;;;;;;;;x
convert_to_gascon_desc;Adopt the Gascon culture;;;;;;;;;x
convert_to_silesian;Convert to Silesian;;;;;;;;;x
convert_to_silesian_desc;Adopt the Silesian culture;;;;;;;;;x
